Name,Distance,Mass,Radius,Gravity
Sun,1.5813e-05,1,1,274.2691614595739
Sirius,8.6,2.1,1.71,196.971799550325
Alpha Centauri,4.4,1.1,1.2,209.51116500384123
Altair,17.0,1.8,1.8,152.37175636642996
Fomalhaut,25.0,1.9,1.8,160.8368539423427
Tau Ceti,11.9,0.783,0.893,269.29967110479345
Delta Pavonis,19.92,0.991,1.22,182.61269753187165
Titawin,44.25,1.27,1.48,159.02202111653529
54 Piscium,36.1,0.76,0.94,235.9037604224493
2MASSW J0045214+163445,57.0,0.021955524,0.16680006,216.43544246304234
WISEP J004701.06+680352.1,40.0,0.011455056,0.1338519,175.3578107126344
2MASS J03264225-2102057,80.0,0.017182584,0.1338519,263.03671606895165
2MASS J03552337+1133437,29.8,0.01909176,0.13591116,283.4736571246098
2MASS J04433764+0002040,82.0,0.021000936,0.18327414,171.47991105646773
2MASS J05012406-0010452,64.0,0.020046348000000002,0.14208894,272.3276229692378
LSR 0602+3910,34.6,0.026728464,0.14517782999999998,347.81665924424755
2MASS J10224821+5825453,60.0,0.025773876,0.14517782999999998,335.3946356998102
DENIS-P J142527.97-365023.4,38.0,0.020046348000000002,0.13591116,297.6473399808404
2MASSW J2206450-421721,93.0,0.021000936,0.13694079,307.149612861842
2MASSW J2244316+204343,56.0,0.011455056,0.13282227,178.08707415681283
2MASS J23224684-3133231,56.0,0.022910112,0.14311857,306.7695254949041
